what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1331272580381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331272586028
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331272594000
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331272595809
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331272607182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331272632113
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1331272738085
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1331272738085
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1331272738116
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1331272738116
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1331272738148
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1331272738179
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1331272738179
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1331272738553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331272750659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331272770097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331273731367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274387075
error,log,,,"The archive: C:/Users/tbagies/Desktop/jaf-1.1.1/activation.jar which is referenced by the classpath, does not exist.",1331274387122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274387137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274388947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331274394189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274395468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274399477
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331274403908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274433751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274449335
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331274452845
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1331274458945
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1331274467697
error,log,,,"C:\\Users\\tbagies\\Desktop\\jaf-1.1.1\\activation.jar does not exist",1331274467697
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1331274479475
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1331274479475
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1331274479506
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1331274479506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274485980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331274519600
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331274527181
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331274617507
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1331274694228
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331275689303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331275736213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331275798083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331276042975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1331276065002
