what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1331255163299
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1331255163299
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1331255163299
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1331255163299
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1331255163299
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1331255163299
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1331255163299
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1331255163299
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1331255163314
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1331255163314
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1331255163314
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1331255163314
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1331255163314
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1331255163314
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1331255163314
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1331255163314
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1331255163314
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1331255163314
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1331255163314
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1331255163314
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1331255163314
os,sysinfo,,,"win32",1331255163314
arch,sysinfo,,,"x86_64",1331255163314
ws,sysinfo,,,"win32",1331255163314
locale,sysinfo,,,"en_US",1331255163314
processors,sysinfo,,,"2",1331255163314
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331255163314
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1331255163314
java.specification.name,sysinfo,,,"Java Platform API Specification",1331255163314
java.specification.vendor,sysinfo,,,"Oracle Corporation",1331255163314
java.specification.version,sysinfo,,,"1.7",1331255163314
java.vendor,sysinfo,,,"Oracle Corporation",1331255163314
java.version,sysinfo,,,"1.7.0_03",1331255163314
java.vm.info,sysinfo,,,"mixed mode",1331255163314
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331255163314
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331255163314
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1331255163314
java.vm.specification.version,sysinfo,,,"1.7",1331255163314
java.vm.vendor,sysinfo,,,"Oracle Corporation",1331255163314
java.vm.version,sysinfo,,,"22.1-b02",1331255163314
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1331255163580
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1331255163595
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1331255163611
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1331255163611
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1331255163626
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1331255163642
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1331255163658
