what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330907976751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330907977063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330908015689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330908020541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330908035564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1330908045704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330908055220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330908901328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910063746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1330910182230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330910185615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910223149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910224771
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1330910258936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910285753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910289247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910292273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910297765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910298108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910300245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910300292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910302320
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1330910307459
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1330910307475
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330910338319
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1330910345136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910352780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910355807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910355963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910357570
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1330910357648
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1330910357679
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1330910372111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910379787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910381004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910381128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910382626
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1330910382688
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1330910382720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330910400381
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1330910467384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910470130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910471690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910471862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330910473344
